"dgp","cv_method","mean_cv_mse","mean_test_mse","bias","abs_bias","var_estimation_error","rmse_estimation_error","mae_estimation_error","optimistic_share","sd_cv_mse","mean_runtime_seconds","mean_validation_predictions","n_success","n_failed","n_total"
"AR(1)","blocked",1.04868633229196,1.05224883813725,-0.00356250584528645,0.00356250584528645,0.063337004758002,0.251063759196961,0.195162112159891,0.485,0.121852468897277,0.0157634711265564,154,200,0,200
"AR(1)","hblock",1.05454431232316,1.05224883813725,0.00229547418590773,0.00229547418590773,0.0639484996384085,0.25225785684881,0.195967547353507,0.465,0.125533134044324,0.0167513656616211,154,200,0,200
"AR(1)","kfold",1.04648550208958,1.05224883813725,-0.00576333604767112,0.00576333604767112,0.0663617805658876,0.257027601057662,0.200456358433584,0.485,0.123637230273869,0.0158840465545654,154,200,0,200
"AR(1)","rolling_origin",1.05356141228991,1.05224883813725,0.00131257415265896,0.00131257415265896,0.0783015329238071,0.279126759931925,0.218709613569842,0.465,0.174360737811599,0.0162908256053925,77,200,0,200
"ARMA(1,1)","blocked",1.06851038931789,1.04962065123664,0.0188897380812487,0.0188897380812487,0.0574189954936591,0.239768060260263,0.182067414568718,0.48,0.143743171864677,0.0152678060531616,154,200,0,200
"ARMA(1,1)","hblock",1.07481695784407,1.04962065123664,0.0251963066074281,0.0251963066074281,0.0586822019785782,0.242947823277635,0.183747258054818,0.465,0.147663995778238,0.0164827048778534,154,200,0,200
"ARMA(1,1)","kfold",1.06217397457378,1.04962065123664,0.0125533233371456,0.0125533233371456,0.0552697644868547,0.234842503800371,0.180775929644956,0.495,0.135871214166542,0.01351975440979,154,200,0,200
"ARMA(1,1)","rolling_origin",1.09788898742816,1.04962065123664,0.0482683361915223,0.0482683361915223,0.0750024041704734,0.277411651572746,0.21504787044649,0.49,0.195209042645119,0.0135079896450043,77,200,0,200
"MA(1)","blocked",1.04845825247759,1.04131111438507,0.00714713809251836,0.00714713809251836,0.0620185047772401,0.248514574695866,0.204019902928541,0.505,0.125735378977668,0.0114687085151672,154,200,0,200
"MA(1)","hblock",1.0526603265719,1.04131111438507,0.0113492121868268,0.0113492121868268,0.0626123756386252,0.249856195395859,0.205518658791333,0.49,0.127514331201671,0.0112062811851501,154,200,0,200
"MA(1)","kfold",1.05240091203994,1.04131111438507,0.0110897976548645,0.0110897976548645,0.0641176626860914,0.252824164162935,0.205957820897546,0.505,0.126635924883241,0.0107107520103455,154,200,0,200
"MA(1)","rolling_origin",1.0633067058221,1.04131111438507,0.0219955914370252,0.0219955914370252,0.0786194516257213,0.280553311173219,0.228934697504901,0.465,0.174778964404365,0.0113394904136658,77,200,0,200
"Seasonal","blocked",1.43702412605441,1.43959900799482,-0.0025748819404022,0.0025748819404022,0.103444927792089,0.320833809269123,0.256846800018775,0.47,0.180034751498261,0.0143832218647003,154,200,0,200
"Seasonal","hblock",1.43663831501809,1.43959900799482,-0.00296069297672464,0.00296069297672464,0.102914530153105,0.320013629717926,0.256223031295644,0.47,0.1801347340487,0.0176547789573669,154,200,0,200
"Seasonal","kfold",1.4867239753212,1.43959900799482,0.0471249673263877,0.0471249673263877,0.106405197311169,0.328776419273229,0.267102149831844,0.39,0.191268001642659,0.0142503333091736,154,200,0,200
"Seasonal","rolling_origin",1.46544327421445,1.43959900799482,0.0258442662196308,0.0258442662196308,0.132608678496994,0.364161449361325,0.292056067802129,0.45,0.250722804829526,0.0129425442218781,77,200,0,200
"Trend","blocked",1.25705871127964,1.30376445192894,-0.0467057406493011,0.0467057406493011,0.079027718624393,0.284278043895182,0.22860878482797,0.575,0.148965157223849,0.0245888841152191,154,200,0,200
"Trend","hblock",1.26752210171518,1.30376445192894,-0.0362423502137592,0.0362423502137592,0.0790478495152167,0.282782811034648,0.227054025548818,0.55,0.15062809694517,0.0247052586078644,154,200,0,200
"Trend","kfold",1.25566422162019,1.30376445192894,-0.0481002303087447,0.0481002303087447,0.0799707611099146,0.286154747400981,0.228696907988416,0.575,0.148211537160578,0.0246783125400543,154,200,0,200
"Trend","rolling_origin",1.29999850601505,1.30376445192894,-0.00376594591389375,0.00376594591389375,0.0993934892169531,0.314500721969751,0.249830791515625,0.5,0.205110572108628,0.0231745600700378,77,200,0,200
