"model","term","coefficient","lag_number"
"ols_lag1","lag_1",0.789440770929649,1
"ols_lag1","lag_2",0,2
"ols_lag1","lag_3",0,3
"ols_lag1","lag_4",0,4
"ols_lag1","lag_5",0,5
"ols_lag1","lag_6",0,6
"ols_lag1","lag_7",0,7
"ols_lag1","lag_8",0,8
"ols_lag1","lag_9",0,9
"ols_lag1","lag_10",0,10
"ols_lag1","lag_11",0,11
"ols_lag1","lag_12",0,12
"ols_lag1","lag_13",0,13
"ols_lag1","lag_14",0,14
"ols_lag1","lag_15",0,15
"ols_lag1","lag_16",0,16
"ols_lag1","lag_17",0,17
"ols_lag1","lag_18",0,18
"ols_lag1","lag_19",0,19
"ols_lag1","lag_20",0,20
"ols_lag1","lag_21",0,21
"ols_lag1","lag_22",0,22
"ols_lag1","lag_23",0,23
"ols_lag1","lag_24",0,24
"ols_lag1","lag_25",0,25
"ols_lag1","lag_26",0,26
"ols_lag1","lag_27",0,27
"ols_lag1","lag_28",0,28
"ols_lag1","lag_29",0,29
"ols_lag1","lag_30",0,30
"ols_lag30","lag_1",1.10968764822335,1
"ols_lag30","lag_2",-0.49103468546439,2
"ols_lag30","lag_3",0.127190840690086,3
"ols_lag30","lag_4",-0.0903701010640951,4
"ols_lag30","lag_5",0.145601797791831,5
"ols_lag30","lag_6",-0.15028126280524,6
"ols_lag30","lag_7",0.11434203790366,7
"ols_lag30","lag_8",0.00301715788390997,8
"ols_lag30","lag_9",-0.022479023986402,9
"ols_lag30","lag_10",-0.116616035314813,10
"ols_lag30","lag_11",0.172180032481166,11
"ols_lag30","lag_12",-0.158584851640106,12
"ols_lag30","lag_13",0.166814754371178,13
"ols_lag30","lag_14",-0.0914163006096332,14
"ols_lag30","lag_15",-0.0415738314275348,15
"ols_lag30","lag_16",0.0460204282027039,16
"ols_lag30","lag_17",0.0551394958965002,17
"ols_lag30","lag_18",-0.153688031259773,18
"ols_lag30","lag_19",0.159452656172484,19
"ols_lag30","lag_20",-0.271834325832425,20
"ols_lag30","lag_21",0.153826329085873,21
"ols_lag30","lag_22",0.024682696815421,22
"ols_lag30","lag_23",-0.00764437398485571,23
"ols_lag30","lag_24",-0.158083444566202,24
"ols_lag30","lag_25",0.128335365655513,25
"ols_lag30","lag_26",-0.0370941096192505,26
"ols_lag30","lag_27",-0.0326603556806394,27
"ols_lag30","lag_28",0.138020305460472,28
"ols_lag30","lag_29",-0.121557947757613,29
"ols_lag30","lag_30",-0.0809689187823698,30
"ridge_lag30","lag_1",0.819365846561905,1
"ridge_lag30","lag_2",-0.13146970268924,2
"ridge_lag30","lag_3",-0.0500741702208633,3
"ridge_lag30","lag_4",-0.017492279013056,4
"ridge_lag30","lag_5",0.0621680410328874,5
"ridge_lag30","lag_6",-0.0400635774953263,6
"ridge_lag30","lag_7",0.0324061655713364,7
"ridge_lag30","lag_8",0.0377535486910496,8
"ridge_lag30","lag_9",-0.0323448848452324,9
"ridge_lag30","lag_10",-0.067771821763978,10
"ridge_lag30","lag_11",0.0574327636855018,11
"ridge_lag30","lag_12",-0.0277008256318519,12
"ridge_lag30","lag_13",0.0570926300404064,13
"ridge_lag30","lag_14",-0.0181531156813351,14
"ridge_lag30","lag_15",-0.0618905009518893,15
"ridge_lag30","lag_16",0.0382036025782227,16
"ridge_lag30","lag_17",0.0276778300916688,17
"ridge_lag30","lag_18",-0.0569373355487367,18
"ridge_lag30","lag_19",0.00819478119349508,19
"ridge_lag30","lag_20",-0.125780739736726,20
"ridge_lag30","lag_21",0.0270020936159732,21
"ridge_lag30","lag_22",0.0812222523349456,22
"ridge_lag30","lag_23",-0.0325710065699697,23
"ridge_lag30","lag_24",-0.0945660049470335,24
"ridge_lag30","lag_25",0.0238012388056997,25
"ridge_lag30","lag_26",0.0112220986742511,26
"ridge_lag30","lag_27",-0.00060400822856892,27
"ridge_lag30","lag_28",0.0711247449184997,28
"ridge_lag30","lag_29",-0.059577740396276,29
"ridge_lag30","lag_30",-0.122161021851892,30
"lasso_lag30","lag_1",0.841850845713597,1
"lasso_lag30","lag_2",-0.157625214420701,2
"lasso_lag30","lag_3",0,3
"lasso_lag30","lag_4",0,4
"lasso_lag30","lag_5",0,5
"lasso_lag30","lag_6",0,6
"lasso_lag30","lag_7",0,7
"lasso_lag30","lag_8",0,8
"lasso_lag30","lag_9",0,9
"lasso_lag30","lag_10",0,10
"lasso_lag30","lag_11",0,11
"lasso_lag30","lag_12",0,12
"lasso_lag30","lag_13",0,13
"lasso_lag30","lag_14",0,14
"lasso_lag30","lag_15",0,15
"lasso_lag30","lag_16",0,16
"lasso_lag30","lag_17",0,17
"lasso_lag30","lag_18",-0.00259254071642542,18
"lasso_lag30","lag_19",-0.00788481839846273,19
"lasso_lag30","lag_20",-0.0392774131222575,20
"lasso_lag30","lag_21",0,21
"lasso_lag30","lag_22",0,22
"lasso_lag30","lag_23",0,23
"lasso_lag30","lag_24",-0.0254151925351383,24
"lasso_lag30","lag_25",0,25
"lasso_lag30","lag_26",0,26
"lasso_lag30","lag_27",0,27
"lasso_lag30","lag_28",0,28
"lasso_lag30","lag_29",0,29
"lasso_lag30","lag_30",-0.0889818836698799,30
