"term","coefficient"
"(Intercept)",0.0606882601739377
"lag_1",0.859772080083696
"lag_2",-0.177229414228142
"lag_3",0
"lag_4",0
"lag_5",0
"lag_6",0
"lag_7",0
"lag_8",0
"lag_9",0
"lag_10",0
"lag_11",0
"lag_12",0
"lag_13",0
"lag_14",0
"lag_15",0
"lag_16",0
"lag_17",0
"lag_18",-0.00690409079060023
"lag_19",-0.00512408106904788
"lag_20",-0.0417652303161438
"lag_21",0
"lag_22",0
"lag_23",0
"lag_24",-0.0283605554021796
"lag_25",0
"lag_26",0
"lag_27",0
"lag_28",0
"lag_29",0
"lag_30",-0.0913236230247761
