"dgp","cv_method","selected_model","count"
"AR(1)","blocked","LM-lag1",440
"ARMA(1,1)","blocked","LM-lag1",10
"MA(1)","blocked","LM-lag1",62
"AR(1)","hblock","LM-lag1",450
"ARMA(1,1)","hblock","LM-lag1",5
"MA(1)","hblock","LM-lag1",40
"AR(1)","kfold","LM-lag1",443
"ARMA(1,1)","kfold","LM-lag1",1
"MA(1)","kfold","LM-lag1",40
"AR(1)","loocv","LM-lag1",459
"ARMA(1,1)","loocv","LM-lag1",0
"MA(1)","loocv","LM-lag1",27
"AR(1)","rolling_origin","LM-lag1",299
"ARMA(1,1)","rolling_origin","LM-lag1",185
"MA(1)","rolling_origin","LM-lag1",214
"AR(1)","blocked","LM-lag5",60
"ARMA(1,1)","blocked","LM-lag5",490
"MA(1)","blocked","LM-lag5",438
"AR(1)","hblock","LM-lag5",50
"ARMA(1,1)","hblock","LM-lag5",495
"MA(1)","hblock","LM-lag5",460
"AR(1)","kfold","LM-lag5",57
"ARMA(1,1)","kfold","LM-lag5",499
"MA(1)","kfold","LM-lag5",460
"AR(1)","loocv","LM-lag5",41
"ARMA(1,1)","loocv","LM-lag5",500
"MA(1)","loocv","LM-lag5",473
"AR(1)","rolling_origin","LM-lag5",201
"ARMA(1,1)","rolling_origin","LM-lag5",315
"MA(1)","rolling_origin","LM-lag5",286
