"DGP","CV_Method","Selected_Model","Count","Percentage"
"AR(1)","k-fold","LM-lag1",440,88
"AR(1)","k-fold","LM-lag5",60,12
"AR(1)","LOOCV","LM-lag1",450,90
"AR(1)","LOOCV","LM-lag5",50,10
"AR(1)","Rolling-origin","LM-lag1",443,88.6
"AR(1)","Rolling-origin","LM-lag5",57,11.4
"AR(1)","Blocked","LM-lag1",459,91.8
"AR(1)","Blocked","LM-lag5",41,8.2
"AR(1)","h-block","LM-lag1",299,59.8
"AR(1)","h-block","LM-lag5",201,40.2
"ARMA(1,1)","k-fold","LM-lag1",10,2
"ARMA(1,1)","k-fold","LM-lag5",490,98
"ARMA(1,1)","LOOCV","LM-lag1",5,1
"ARMA(1,1)","LOOCV","LM-lag5",495,99
"ARMA(1,1)","Rolling-origin","LM-lag1",1,0.2
"ARMA(1,1)","Rolling-origin","LM-lag5",499,99.8
"ARMA(1,1)","Blocked","LM-lag1",0,0
"ARMA(1,1)","Blocked","LM-lag5",500,100
"ARMA(1,1)","h-block","LM-lag1",185,37
"ARMA(1,1)","h-block","LM-lag5",315,63
"MA(1)","k-fold","LM-lag1",62,12.4
"MA(1)","k-fold","LM-lag5",438,87.6
"MA(1)","LOOCV","LM-lag1",40,8
"MA(1)","LOOCV","LM-lag5",460,92
"MA(1)","Rolling-origin","LM-lag1",40,8
"MA(1)","Rolling-origin","LM-lag5",460,92
"MA(1)","Blocked","LM-lag1",27,5.4
"MA(1)","Blocked","LM-lag5",473,94.6
"MA(1)","h-block","LM-lag1",214,42.8
"MA(1)","h-block","LM-lag5",286,57.2
